"","What kinds of resources/publications do you provide?","What is your biggest advocacy issue for 2025?","What are the biggest threats to your Association in 2025?","What does your Association hope to contribute as an organisation to Educators SA?","What do you hope to get from being a member of Educators SA?"
"19",NA,NA,NA,"Networking and connecting with other associations (sharing ideas etc.)","Networking opportunities, helping to promote professional learning opportunities & association help/questions."
"20","Digital booklets on creative teaching and practical fieldwork","Promoting HaSS in schools","Lack of finance","Support for the work of Educators SA in schools and universities","Support with publicity, financial advice, Humanitix organisation  and advocacy for associations work in general"
"21","Aboriginal Studies so far",NA,"HAA (HASS Association Australia) causing confusion and concern","HASS learning area support","promotion of and support with PD events and committee learning"
"22","A quarterly Newsletter","ACARA V9 / Responsible AI Use","PD still reasonable numbers but the ability for teachers to be released has become more difficult","Whatever we can do to help that is needed.","Support when needed.  An umbrella voice for all associations"
"23",NA,"Keeping Indoneisan programs alive in SA schools","low numbers of students","We will continue to attend EdSA events","Networking with other associations, support with association requirements (tax :)), motivation to continue our work"
"24","Welcome Newsletter","Access + info for the SA Curriculum, and how we can have any kind of support from the government (or other) to run our association, as we are struggling to manage","Disengaged member base - won't help or contribute; poor take up of information or survey completion; hard for schools to attend meetings","Issues affecting our assn / sectors","Help with the assn things - tax etc"
"25","access to resources we find useful via provision of QR codes at workshops; we used to run a resource table, but have stopped this, as it binds up a lot of finances and needs storage and people to manage this","holding onto members","doing too much and burning out volunteers","networking across different areas of interest","information about all sectors and networking"
"26","specific Laborataory manuals (as in guide to Safety Equipment) Laboratory Managers Practices  publications at no cost to our members only","for membership - public support / currently our members indicated they felt cut off with no contact - connection communication breakdown for committee- new LMASA committee members to commit to roles  - all are about to retire in the next few years","IT threats /technology changes in curriculum/changes in the role/ on the job you do not kept on a minimum level 1 just because your school does not recognise the role as lab assistant as important -risk management","use of the rooms for meetings/pd meeting opportunities/continued pd for committee members in their roles etc","support for those isolated - only 1 in this role usually at a school - English not necessarily first language - language barriers"
"27","Aim to have one newsletter a term","Hosting the AFMLTA Biannual Conference","Reduced memberships and/or attendance at PL where costs are incurred due to increased cost of living and competing financial priorities","Voice in Advisory meetings; communication about challenges faced and collaborative problem solving; representation on the Minister's Languages Award panel.","Professional support with the Tax/ Charitable NFP; Governance Support; Networking through PL and social events; PL grant funding; advocacy; World Teacher's Day presence; association 'big picture' through EdSA advisory meetings."
"28","Many Stage 1 and 2. EDSA manages","membership","membership, executive sustainability, tax","support, leadership by experienced members","support, advice"
"29","Information available on website - books and electronic resources","Charity Status changes; Ongoing changes to national and state curriculum and lack of resourcing for teachers to implement these changes","Financial pressures impacting membership sign ups","Participation in an education network; mentoring support for smaller organisations; networking and collaboration opportunities","Grant support; Facilitation and guidance with regards to ATO and Charity status changes"
"30","blog for members","Time poor educators, difficulty reaching out to schools for new members","lower membership and workshop attendance","A network of music educators","support for associations - advice, guidance, support. Membership portal is so valuable."
"31","Newsletter, Diary","Time for all committee members to attend not just one or two",NA,"Partnership and support","Partnership and support"
"32","Members get access to JOEE and OE news","working through the charity ACNC process","volunteers","increase member awareness, encourage people to advocate for chosen subject","Support and workshops, advice have been great. Award acknowledgement event was also special."
"33","Teams chat group, regular email updates on relevant topics and event information","Preschool Reform, Support and Inclusion (including violent behaviour in preschoolers), preschool leader wellbeing","Broad range of priorities and lack of capacity to address these, volunteer members with heavy paid workloads","contribute to the board, connect with other early childhood associations, raise profile of early years learners and leaders","I appreciate the support for PD sessions, the information about governance and administration compliance and strategies, connection with other associations, collaboration on shared issues and EdAssist"
"34","Units of work, publications, online resources, PETAA papers,","Building a profile in SA","Membership numbers","Another voice and perspective, support and engagement","Advocacy and a community of professional partners"
"35","Journal of Philosophy in Schools","spaces to train educators and ability to reach educators","Our current size and time","Active support and engagement with EdSA initiatives a unique perspective to issues faced by educators and associations. What ever we can do to help.","support, guidance, and help to collaborate with other associations"
"36","Anything from National and State perspective.  New research articles etc","Support re funding for students with disability especially in units and special classes","Keeping membership strong","Up to date information re successes and barriers","Advice, support as required, unified front to tackle issues"
"37","Newsletters, Commissioning ACER to undertake comprehensive research - The report from that research.","School library staffing","school library staffing","Connecting and collaborating with others, sharing ideas and successes","continued knowledge about how best to manage/build/run an association"
"38","linked to ACTA (national organisation) - quarterly peer reviewed online journal",NA,NA,"perspectives on the adult sector; dealing with an area of education which is not classified by ACARA as a subject","Advice/support on governance issues; access to information on curriculum and other areas of relevance; access to ministers/shadow ministers re policies etc"
"39","Teaching resources","Revitalizing the teaching and learning of the Italian language",NA,"Provide support and ideas","Support in running the association and general updated in the Education field"
"40","Mail Chimp","National Skills Agreement for SA","Membership","Attendance at Ed SA council meetings","Advice, support"
"41",NA,"retention, promoting French in schools with no language ( of which there are many)  promoting French in the regions","Schools closing down French programs, retention of French teachers on sites, French teachers taking leave and not being replaced, these teachers no longer requiring our association if not teaching French","supporting other language associations through EDSA! Together we are stronger!","connection, support and love!"
"42","Excursion Guide, during Covid we created online guides, we send out the conference materials to everyone who attended.","We need more teachers - this is our most urgent issue. We want the SA government to offer incentives to students to commit to becoming language teachers via scholarships.","Dropping numbers of German teachers and programs","Meeting and Event attendance, helping with judging for scholarships if needed, spreading Educators SA news to our members","Information and support - as we already do"
"43","Science Terxtbooks, trial exams, topic tests, videos, newsletters and Journal","Teacher contact time","none that are obvious right now","Contributing our voice to the Council Meetings during the year","Advocacy"
"44","Conference material","Unsure at theis time","Non attendance at conference as is close to the stte wide conference","Unsure","Advise and support, especially self review and support with our conference"
"45","from hard copies of books and resources to digital materials","SA curriculum and keeping language teachers teaching languages","Not a lot of support to Language learning","Participation and contribution upon request.","Professional development opportunities and funding opportunities to improve our services. Meetings that are useful to improve our organisation."
"46","Quarterly Magazine","Professional Standards of Instrumental MusicTeachers, and Promotion of the Benefits of Music Education in the Curriculum","Cost of Living pressures threatens our members/industry as we are usually an extra-curricular expense for families","We hope to be an active member and are ready to contribute to EdSA in 2026. We are very proud to have our council member and EdSA representative Jessica Liu on the Ed SA board this year.","Guidance and support in Association compliance and governance, as well as collaboration and Collegiate interaction with other dedicated associations"
"47","VAESA website: https://www.vaesa.com.au/",NA,NA,"Participation and feedback at/for events and workshops","Association support, promotion, event participation, latest news, collaboration"
"48","Resources for teaching - like PowerPoints, Task sheets, etc.","Increasing Women's Studies as a subject","Membership - small numbers of teachers in Australia","Sharing of ideas","Advice and support"
"49",NA,NA,NA,"To enhance the support of HALT across all networks and education in general","Support with our membership lists etc."
"50",NA,NA,NA,"Specialist knowledge and connection with Creative Arts educators.","Information, connections, financial support and fun!"
"51",NA,NA,NA,"Knowledge about our experiences.","An opportunity to network with other organisations and discuss best practices and how tey meet challenges"
"52",NA,NA,NA,"Webinars, networking, collaborative ventures","Administrative support; space to hold our annual awards afternoon for psychology students, networking"
"53",NA,NA,NA,"NA","Professional connection"
"54",NA,NA,NA,"Our Association hopes to contribute the unique perspectives and innovative practices of small schools and actively engage in building a collaborative, supportive professional community within Educators SA.","To seek a stronger collective voice to advocate for small schools, access to professional development tailored to our unique contexts, and opportunities to collaborate and share best practice with fellow educators across South Australia."
"55",NA,NA,NA,"Insight into the broader value of the arts and dance, specifically as an educational, lifestyle, career and recreational pursuit","Advice, support"
"56",NA,NA,NA,"Be a voice for language teachers","PD on how to run an association, being connected to like minded groups, ensuring our association remains informed about the legalities"
"57",NA,NA,NA,"Professional learning","Connections and opportunity for collaboration with others in SA"
"58","National journal and newsletter","Where does Home ec fit in the curriculum?","Finances and keeping our association alive in SA!","A productive and dynamic association that will support the mission, values and strategic plan of Educators SA","Advocacy, networking, and being part of a community to assist us in our mission to support Home Economics."
"59","We have a members only sections which has several hundred resources in it. These are a combination of bespoke PMA produced resources and curated resources produced by others.","High quality maths learning and teaching, devt of Year 1 maths test, profiling of Numeracy indicators in Preschool","continuing to connect with sites and early career educators","contribute to conversations and idea generation through Council meetings and other learning opportunities throughout the year","Connection to community, connection to advocacy around general education matters across the State"
"60","Research papers that we have jointly commissioned with other associations","Equity for country schools/students","Private schools taking enrolments","support for country education","Working with like minded leaders and associations, support for the running of some elements of our association"
"61",NA,NA,NA,"Active involvement in events and sharing EDSA benefits and events with our members.","Support in governance, networking and being apart of a wonderful community."
