Unnamed: 0,What kinds of resources/publications do you provide?,What is your biggest advocacy issue for 2025?,What are the biggest threats to your Association in 2025?,What does your Association hope to contribute as an organisation to Educators SA?,What do you hope to get from being a member of Educators SA?,Resources/Publications Category,Advocacy Issue Category,Threats Category,Contribution to Educators SA Category,Expected Membership Benefits Category
47,VAESA website: https://www.vaesa.com.au/,,,Participation and feedback at/for events and workshops,"Association support, promotion, event participation, latest news, collaboration",Digital/online resources,Unsure,Unsure,Participation & engagement; Professional learning,Promotion & event support; Information & policy; Networking & collaboration
48,"Resources for teaching - like PowerPoints, Task sheets, etc.",Increasing Women's Studies as a subject,Membership - small numbers of teachers in Australia,Sharing of ideas,Advice and support,Teaching & curriculum resources,Subject-specific advocacy,Membership decline & engagement,Networking & collaboration,Advice & support
49,,,,To enhance the support of HALT across all networks and education in general,Support with our membership lists etc.,Unsure,Unsure,Unsure,Advocacy & representation; Specialist expertise,Membership & association development; Practical operational support
50,,,,Specialist knowledge and connection with Creative Arts educators.,"Information, connections, financial support and fun!",Unsure,Unsure,Unsure,Specialist expertise; Networking & collaboration,Information & policy; Networking & collaboration; Financial support; Support & community
51,,,,Knowledge about our experiences.,An opportunity to network with other organisations and discuss best practices and how tey meet challenges,Unsure,Unsure,Unsure,Specialist expertise,Networking & collaboration; Association development
52,,,,"Webinars, networking, collaborative ventures","Administrative support; space to hold our annual awards afternoon for psychology students, networking",Unsure,Unsure,Unsure,Professional learning; Networking & collaboration,Governance & administration; Networking & collaboration; Practical operational support
53,,,,,Professional connection,Unsure,Unsure,Unsure,Unsure,Networking & collaboration
54,,,,"Our Association hopes to contribute the unique perspectives and innovative practices of small schools and actively engage in building a collaborative, supportive professional community within Educators SA.","To seek a stronger collective voice to advocate for small schools, access to professional development tailored to our unique contexts, and opportunities to collaborate and share best practice with fellow educators across South Australia.",Unsure,Unsure,Unsure,Networking & collaboration; Specialist expertise; Participation & engagement,Advocacy & collective voice; Professional development; Networking & collaboration; Information & policy
55,,,,"Insight into the broader value of the arts and dance, specifically as an educational, lifestyle, career and recreational pursuit","Advice, support",Unsure,Unsure,Unsure,Specialist expertise; Advocacy & representation,Advice & support
56,,,,Be a voice for language teachers,"PD on how to run an association, being connected to like minded groups, ensuring our association remains informed about the legalities",Unsure,Unsure,Unsure,Advocacy & representation; Specialist expertise,Professional development; Governance & administration; Networking & collaboration; Information & policy
57,,,,Professional learning,Connections and opportunity for collaboration with others in SA,Unsure,Unsure,Unsure,Professional learning,Networking & collaboration; Association development
58,National journal and newsletter,Where does Home ec fit in the curriculum?,Finances and keeping our association alive in SA!,"A productive and dynamic association that will support the mission, values and strategic plan of Educators SA","Advocacy, networking, and being part of a community to assist us in our mission to support Home Economics.",Research/academic publications; Newsletters & updates,Curriculum & education policy; Subject-specific advocacy,Financial pressures; Operational capacity,Support for Educators SA; Participation & engagement,Advocacy & collective voice; Networking & collaboration; Support & community
59,We have a members only sections which has several hundred resources in it. These are a combination of bespoke PMA produced resources and curated resources produced by others.,"High quality maths learning and teaching, devt of Year 1 maths test, profiling of Numeracy indicators in Preschool",continuing to connect with sites and early career educators,contribute to conversations and idea generation through Council meetings and other learning opportunities throughout the year,"Connection to community, connection to advocacy around general education matters across the State",Digital/online resources; Teaching & curriculum resources,Quality teaching & learning; Student outcomes; Curriculum & education policy,Membership engagement; Access & regional engagement,Advocacy & representation; Specialist expertise; Participation & engagement,Networking & collaboration; Advocacy & collective voice; Support & community
60,Research papers that we have jointly commissioned with other associations,Equity for country schools/students,Private schools taking enrolments,support for country education,"Working with like minded leaders and associations, support for the running of some elements of our association",Research/academic publications,Access & regional equity,Competition/sector change,Advocacy & representation; Access & regional education perspective,Networking & collaboration; Advice & support; Practical operational support
61,,,,Active involvement in events and sharing EDSA benefits and events with our members.,"Support in governance, networking and being apart of a wonderful community.",Unsure,Unsure,Unsure,Participation & engagement; Promotion & communication,Governance & administration; Networking & collaboration; Support & community
