Unnamed: 0,How many professional learning events does your Association run each year?,What type of events are they?,What locations are you using to run your events?,Who are your target Members?,What are your Member categories?,How do you advertise for Members?,Classification - Professional Learning Event Frequency,Classification - Event Types,Classification - Event Locations,Classification - Target Members,Classification - Member Categories,Classification - Member Advertising
11,2-5,"Conference, Workshops, Exam debriefs","Schools, Universities and pubs and zoom","Accounting, Business Innovation and Information Publishing and Processing","Individual, School, PreService Teachers","Website, Email, Facebook, LinkedIn and Educators SA",2-5,Conferences; Professional learning / Workshops,Online / Virtual; Schools / Education sites; Universities / TAFE; Community / Public / Special venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership,Social media / Digital platforms; Website / Online presence; Email / Direct mail / Newsletter; Member / Professional networks & Partnerships
12,2-5,Termly PD and State Conference,"Schools, mostly in Seymour College",All the Chinese language teachers and pre-service teachers.,"There are four Member categories: Full membership (Employed), Pre-service teacher membership, Associate membership and Retired Teacher members","Association websites, flyers, emails, CLTASA WeChat Group, student events and teachers' PD",2-5,Conferences; Professional learning / Workshops,Schools / Education sites,Students / Pre-service / Early Career; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Retired / Life / Honorary membership; Associate / Concession / Other reduced-status membership,Website / Online presence; Email / Direct mail / Newsletter; Events / Professional learning
13,2-5,"Workshops, clarifying forums and conference workshops",Schools across Adelaide,School memberships,Metro and Country School memberships and individual and full-time students,"MailChimp, website and facebook",2-5,Conferences; Professional learning / Workshops; Networking / Community events,Schools / Education sites,Schools / Organisations / Services,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Geographic / Regional membership,Social media / Digital platforms; Website / Online presence; Email / Direct mail / Newsletter
14,2-5,"Early Years Education combined conference, Senior Drama Teachers Forum, 2025 National Drama Conference, workshops etc.","Member schools, Industry venues",Drama educators,"individual, corporate and student",social media and email mailing list,2-5,Conferences; Professional learning / Workshops; Networking / Community events,Schools / Education sites,Educators / Professional Practitioners,Individual / Full membership; Corporate / Commercial membership; Student / Pre-service membership,Social media / Digital platforms; Email / Direct mail / Newsletter
15,2-5,Relevant to members identified priorities through member survey,"EDC, TaFE, Uni SA",Early Childhood Professionals working in the Early Years of School,"Student, individual, small organisation, large organisation","Through events, FB and online",2-5,Other,Universities / TAFE; Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership,Website / Online presence; Events / Professional learning
16,5-10,"conferences, workshops and twilights","various but usually schools, pre schools/ELC's",early childhood educators,"members, non-members, early career, discounted membership for SSO's/ECW'sESO's and life members, free pre service membership","at conferences, using social media and by word of mouth",5-10,Conferences; Professional learning / Workshops; Presentations / Seminars,Schools / Education sites,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Early Career membership; Retired / Life / Honorary membership,Social media / Digital platforms; Events / Professional learning; Member / Professional networks & Partnerships
17,2,"Dinner, Conference","Restaurant, UniSA/UofA",SACE Economics Teachers,"School membership, Individual membership, Pre-service teacher membership","Conference, direct email, word of mouth, EdSA renewal emails",2,Conferences; Networking / Community events,Universities / TAFE; Community / Public / Special venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership,Email / Direct mail / Newsletter; Events / Professional learning; Member / Professional networks & Partnerships; Program / Renewal-based recruitment
18,5-10,"Webinars, F2F conferences, F2F seminars","Online, EDC, School Sites","All educators, all year levels","Organisational (school - A or B depending on size of school), Individual; Early Career,  PreService,","Facebook, Events, Email ""Mail Chimp""",5-10,Conferences; Online / Hybrid events; Presentations / Seminars,Online / Virtual; Schools / Education sites; Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Early Career membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Events / Professional learning
19,2-5,"PD workshops, conference & competitions/awards","Due to costs, we run small PD at exec member schools. This is problematic for the conference so last 2 conferences have paid to host at Australian Nursing and Midwifery Federation (SA Branch) but even that is becoming too costly given declinging membership",Out of field geography teachers & SACE geography teachers,"Individual: Metro Secondary Teacher (7-12), Individual: Country Secondary Teacher (7-12), Individual: Primary School Teacher (R-6/7), Individual: Early Career Secondary Teacher (<2 Years), Individual: Retired Teacher/Friends of GTASA, Individual: Pre-Service Teacher, Institution: R-12 / Secondary, Institution: R-7 Primary Schools","Through social media, PD events, and conferences",2-5,Conferences; Professional learning / Workshops; Performances / Competitions / Special events,Schools / Education sites,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Early Career membership; Retired / Life / Honorary membership; Geographic / Regional membership,Social media / Digital platforms; Events / Professional learning
20,4 in late 2024 and panning for 10 in 2025,"face-to-face, online and hybrid",Uni SA,Pre-service and early career HaSS educators,"Pre-service, early career educator, experienced educator and school membership",At Uni SA and through email to UniSA alumni and others,Other,Online / Hybrid events,Universities / TAFE,Students / Pre-service / Early Career; Educators / Professional Practitioners,School / Institutional / Organisation membership; Student / Pre-service membership; Early Career membership,Email / Direct mail / Newsletter; Member / Professional networks & Partnerships; Direct outreach / Institutional contacts
21,2-5,"Annual conference, country conference, specific venue visits",Schools at present,HaSS Associations and Groups,"HaSS Associations and Groups, including Aboriginal Studies and Environmental Sustainability",HASS SA website,2-5,Conferences,Schools / Education sites,Schools / Organisations / Services; Educators / Professional Practitioners,School / Institutional / Organisation membership,Website / Online presence; Member / Professional networks & Partnerships
22,2-5,Professional Development,EDC / State Library / Individual Schools,Any teacher of Humanities and History,School Membership / Individual Membership scaled,Social Media,2-5,Professional learning / Workshops,Schools / Education sites; Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership,Social media / Digital platforms
23,2-5,"PD, Networking, Conference",EDC,Indonesian teachers,"full, student, not working, school 1-2, school 3-4, school 5+",email & social media,2-5,Conferences; Professional learning / Workshops; Networking / Community events,Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Email / Direct mail / Newsletter
24,2-5,1 * conference; 1 * term PL other terms,EDC / Zoom,?,Individual; Institution; student; non-practising; life,we rely on MLTASA / EdSA,2-5,Conferences,Online / Virtual; Education / Training centres,Other,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Retired / Life / Honorary membership; Associate / Concession / Other reduced-status membership,Member / Professional networks & Partnerships
25,2-5,"workshops- 3; courses, one 6 day course and one nationally accredited 10 day course with international presenters",Pultney Grammar,generalist educators and performing arts teachers as well as music specialists,single/ corporate/ student,we are lucky that teh Muisc Education strategy pays for membership of participants who do their courses,2-5,Professional learning / Workshops; Presentations / Seminars,Schools / Education sites,Educators / Professional Practitioners,Individual / Full membership; Corporate / Commercial membership; Student / Pre-service membership,Program / Renewal-based recruitment
26,2-5,WHS day - Risk Management. City based/ Annual Conference - - alternate city based  next year regional,EDC centre and schools - regional specific,all new personnel into the laboratory,"single personal membership, life membership, retired membership","via a mail out to all [principals - word of mouth, hub group invitations",2-5,Conferences; Professional learning / Workshops,Schools / Education sites; Education / Training centres,Other,Individual / Full membership; Retired / Life / Honorary membership,Email / Direct mail / Newsletter; Member / Professional networks & Partnerships; Direct outreach / Institutional contacts
27,2-5,Expo/ Online PL/ Face-to-Face specific purpose PL and End of Year Networking event with a guest speaker,"Online, EDC, Adelaide High Boat Shed","Individual members, Early Career Teachers, School Memberships",Individual/ School/ Commercial,"Social media; Professional Learning events, EdSA Expo, digital newsletters, networking at professional events, connection with universities",2-5,Networking / Community events; Presentations / Seminars; Performances / Competitions / Special events,Online / Virtual; Education / Training centres; Community / Public / Special venues,Schools / Organisations / Services; Students / Pre-service / Early Career; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Corporate / Commercial membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Events / Professional learning; Member / Professional networks & Partnerships
28,2-5,"Conference, specific smaller T and D",Flinders Uni City,Legal studies and civics teachers,"Life, full, country, student","online, word of mouth",2-5,Conferences,Universities / TAFE,Educators / Professional Practitioners,Individual / Full membership; Student / Pre-service membership; Retired / Life / Honorary membership; Geographic / Regional membership,Website / Online presence; Member / Professional networks & Partnerships
29,10-20,Annual Conference; Professional Learning Workshops (in-person and online); networking events,Own building and school sites,Mathematical educators across South Australia,Institutional and Individual (variety of levels),professional networking; renewals; school communication  and networks,10-20,Conferences; Professional learning / Workshops; Networking / Community events,Schools / Education sites; Association / Dedicated facilities,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership,Member / Professional networks & Partnerships; Direct outreach / Institutional contacts; Program / Renewal-based recruitment
30,2-5,"1 whole day workshops, 1 half day workshops, a range of small after school sessions for members, MES courses for DfE","Fullarton Park Centre, Unley Park Baptist Church, Unley Primary School, other schools",Performing Arts teachers,"Individual, Corporate, Student","email, facebook, word of mouth, music conferences",2-5,Professional learning / Workshops,Schools / Education sites; Community / Public / Special venues,Educators / Professional Practitioners,Individual / Full membership; Corporate / Commercial membership; Student / Pre-service membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Events / Professional learning; Member / Professional networks & Partnerships
31,2-5,"Mystery Bus Tour, Educators Day and PD","Golf clubs, football clubs etc",OSHC services,"Associate, small service & large service","Social media, email and newsletter",2-5,Professional learning / Workshops; Performances / Competitions / Special events,Community / Public / Special venues,Schools / Organisations / Services; Educators / Professional Practitioners,School / Institutional / Organisation membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Email / Direct mail / Newsletter
32,2-5,PD - SACE sessions and specific skill information ie Bushwalking MTB,Schools host or outside spaces.,Uni students and schools,"Full time student, individual, school/ organisation, sponsors, award winners, life members","online, facebook, email",2-5,Professional learning / Workshops,Schools / Education sites,Schools / Organisations / Services; Students / Pre-service / Early Career,Individual / Full membership; School / Institutional / Organisation membership; Corporate / Commercial membership; Student / Pre-service membership; Retired / Life / Honorary membership,Social media / Digital platforms; Website / Online presence; Email / Direct mail / Newsletter
33,2-5,"face to face, hybrid, online - regular online events for members with DfE Directors, expert presenters, networking","EDC, regional event spaces, DfE sites, community centres","Preschool leaders and aspiring preschool leaders, regional and remote preschool leaders","Full membership, Retired members, other (others by approval only)","Website, site visits, engagement with LET's and through professional development",2-5,Online / Hybrid events; Networking / Community events; Presentations / Seminars,Education / Training centres; Community / Public / Special venues,Leaders / Senior Professionals,Individual / Full membership; Retired / Life / Honorary membership,Website / Online presence; Direct outreach / Institutional contacts
34,More than 20,"Annual conference, online courses","schools, Annual conference - interstate",All Primary teachers of English and Curriculum Leaders,"Online only, full, student membership, school, PD members","Facebook, email,",>20,Conferences; Professional learning / Workshops; Online / Hybrid events,Schools / Education sites,Leaders / Senior Professionals; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership,Social media / Digital platforms; Email / Direct mail / Newsletter
35,2-5,"Networking, training, and practice (COI Days)","Pubs, state public institutions (AGSA, Centre of Democracy, Parliament House)",Educators in Public Education,"Concession, Full and Institutional Membership",Word of mouth and through events and our website,2-5,Professional learning / Workshops; Networking / Community events,Community / Public / Special venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Associate / Concession / Other reduced-status membership,Website / Online presence; Events / Professional learning; Member / Professional networks & Partnerships
36,2-5,Conferences,Variety across Adelaide,Special Education,Special Education,"Facebook, Emails to current members and sites. Mailout to all sites",2-5,Conferences,Other,Educators / Professional Practitioners,Role / Sector-specific membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Member / Professional networks & Partnerships
37,up to 8,"2 day conference, evening session - mix of workshops and presentations, Saturday morning sessions, Zoom/hybrid, low cost and free events.","Schools, EDC and Grand Chancellor",People working in School Libraries,"Associate Membership Concessional,  Individual Membership,  Institutional Membership (Small-400 students), Institutional Membership (Medium-401-799  Institutional Membership (Large- 800+ students),",Mail out and at Professional development sessions,Other,Conferences; Professional learning / Workshops; Online / Hybrid events; Presentations / Seminars,Schools / Education sites; Education / Training centres; Hotels / Conference venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Associate / Concession / Other reduced-status membership,Email / Direct mail / Newsletter
38,2-5,"f2f or online, workshops or presentations",various incl community centres,"new TESOL teachers, mostly in post-secondary due to above and govt funding for adults",? unsure what categories you mean,through current members and via social media,2-5,Professional learning / Workshops; Online / Hybrid events; Presentations / Seminars,Community / Public / Special venues,Students / Pre-service / Early Career; Educators / Professional Practitioners,Other,Social media / Digital platforms; Member / Professional networks & Partnerships
39,2,"workshops, conferences, in language film pre-view",EDC or venues from Italian community,Italian teachers,Primary and secondary teachers,"socials, emails, website, events",2,Conferences; Professional learning / Workshops; Performances / Competitions / Special events,Education / Training centres; Community / Public / Special venues,Educators / Professional Practitioners,Role / Sector-specific membership,Social media / Digital platforms; Website / Online presence; Email / Direct mail / Newsletter; Events / Professional learning
40,2-5,PD,TAFE SA,"Adult educators, ACE sector",Individual and organisations,Mail Chimp,2-5,Professional learning / Workshops,Universities / TAFE,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership,Email / Direct mail / Newsletter
41,2-5,"annual conference, Primary and secondary 'hub' style meets, PD workshops","online for the most part, at schools","pre-service, graduate teachers, new arrivals (to Australia) teachers, current French teachers","individual, pre-service ( we removed school groups years ago and it was too difficult to contact teachers directly)","facebook (private message any teacher who posts for help/support to encourage them to join) instagram, Educators SA, word of mouth, at the conference",2-5,Conferences; Professional learning / Workshops; Networking / Community events,Online / Virtual; Schools / Education sites,Students / Pre-service / Early Career; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership,Social media / Digital platforms; Events / Professional learning; Member / Professional networks & Partnerships
42,2-5,"State Conference in May, Full-Day Conti PD, Thinking Routines workshop",A school,German Teachers in SA,Full SAGTA members,I have created an email list of nearly every German teacher in the state and I include non-members on some emails in an effort to help them see the benefits of being a member.,2-5,Conferences; Professional learning / Workshops,Schools / Education sites,Educators / Professional Practitioners,Individual / Full membership; Role / Sector-specific membership,Email / Direct mail / Newsletter
43,More than 20,"workshops, webinars, conferences, networking",EDC,Science Teachers,"Personal member, 1st Year teacher, 2nd year teacher, student member, Lab Tech member, honorary member, joint member, corporate member","website, email, social media",>20,Conferences; Professional learning / Workshops; Online / Hybrid events; Networking / Community events,Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; Corporate / Commercial membership; Student / Pre-service membership; Early Career membership; Retired / Life / Honorary membership,Social media / Digital platforms; Website / Online presence; Email / Direct mail / Newsletter
44,1,Full day conference and 1 hour afer school spotlight sessions,"Beach House and teams, 2026 Arkabar hotel",Student Wellbeing Leaders,Full and associate,"Email, Facebook",1,Conferences,Online / Virtual; Community / Public / Special venues; Hotels / Conference venues,Students / Pre-service / Early Career; Leaders / Senior Professionals; Educators / Professional Practitioners,Individual / Full membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Email / Direct mail / Newsletter
45,2-5,Annual Conference. Senior teachers and early career teachers. III National Congress. Student Motivation and Engagement in languages to improve retention.,"EDC, Adelaide University, Flinders University, Mercedes College, Saints Peter's Boys and Saint Peter's Girls.",New Spanish teachers,"ECT, Uni students and teachers",Social media,2-5,Conferences,Schools / Education sites; Universities / TAFE; Education / Training centres,Students / Pre-service / Early Career; Educators / Professional Practitioners,Student / Pre-service membership; Early Career membership,Social media / Digital platforms
46,5-10,"Lectures, Concerts, Competitions, Webinars, Masterclasses etc",Various,Instrumental Music Teachers,"Full, Associate, Student, Institutional, Honarary",Through affiliated organisations.,5-10,Online / Hybrid events; Presentations / Seminars; Performances / Competitions / Special events,Other,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Associate / Concession / Other reduced-status membership,Member / Professional networks & Partnerships
47,2-5,"Conference, PD for Visual Study, PD for moderation/marking, PD for setting up the classroom (new educators and pre-service), Folio, social","Schools, last year Carclew for part of conference, other tertiary","New and existing visual art and design teachers - primary, secondary and tertiary","Teacher, School, Pre-service","Website, through events and socials",2-5,Conferences; Professional learning / Workshops; Networking / Community events,Schools / Education sites; Community / Public / Special venues,Educators / Professional Practitioners,School / Institutional / Organisation membership; Student / Pre-service membership,Social media / Digital platforms; Website / Online presence; Events / Professional learning
48,2-5,Workshops,"Schools like RMSC, or the EDC",Women's Studies Teachers,"Single, Corporate and Associate (pre-Service, retired, community member)",Facebook page,2-5,Professional learning / Workshops,Schools / Education sites; Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Corporate / Commercial membership; Student / Pre-service membership; Retired / Life / Honorary membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms
49,5-10,Online and in person.,"Westminster School, Orbis","Aspiring HALT, HALT, Assessors and School Leaders","Early Career HALT, Individual member, Institution membership (three different tiers) and Retired/Associate","Facebook, emailing previous members",5-10,Online / Hybrid events,Schools / Education sites,Leaders / Senior Professionals,Individual / Full membership; School / Institutional / Organisation membership; Early Career membership; Retired / Life / Honorary membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Email / Direct mail / Newsletter
50,10-20,"PD, mentoring, pathway connections.",Online. Findon Technical College. Gilbert Street Hotel. Duke of Brunswick Hotel. CDW.,"Creative Arts educators, students and stakeholders: Industry and pathways.",Individual/Schools/Institutional/Honorary,"Facebook, CA3 Expo, DreamBig newsletter.",10-20,Professional learning / Workshops,Online / Virtual; Schools / Education sites; Hotels / Conference venues,Schools / Organisations / Services; Students / Pre-service / Early Career; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Retired / Life / Honorary membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Events / Professional learning
51,10-20,Mainly PD,"Immanuel College, University of Adelaide, a range of central venues and online",Secondary English teachers,"Pre-service, Individual and  2 levels  of Corporate for schools",Social media,10-20,Professional learning / Workshops,Online / Virtual; Schools / Education sites; Universities / TAFE; Hotels / Conference venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Corporate / Commercial membership; Student / Pre-service membership,Social media / Digital platforms
52,2-5,Webinars,Unsure,School Psychologists and Counsellors,"Full/associate, emeritus/provisional/student, life/patron","Word of mouth, networking, conferences.",2-5,Online / Hybrid events,Unsure,Educators / Professional Practitioners,Individual / Full membership; Student / Pre-service membership; Retired / Life / Honorary membership; Associate / Concession / Other reduced-status membership,Events / Professional learning; Member / Professional networks & Partnerships
53,2-5,Music related,Schools,schools,General,Website,2-5,Other,Schools / Education sites,Schools / Organisations / Services,Role / Sector-specific membership,Website / Online presence
54,0,,"Exec meetings at Lakes Hotel, West Lakes. Conference at Hotel Grand Chancellor",Small Schools,Small School staff,Newsletters and email,0,Unsure,Hotels / Conference venues,Schools / Organisations / Services,School / Institutional / Organisation membership; Role / Sector-specific membership,Email / Direct mail / Newsletter
55,2-5,networking and professional learning,various,"Dance educators - schools and private studios, as well as independent dance artists","Individual, schools, studios, students, graduates, lifetime members","Dont really advertise but have regular newsletter, mailing lists, Arts Ambassador ( dept)",2-5,Professional learning / Workshops; Networking / Community events,Other,Schools / Organisations / Services; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Retired / Life / Honorary membership,Email / Direct mail / Newsletter
56,2-5,"PD targeted at language learning, methodologies, gamification, curriculum development",Education Building,Teachers of Modern. Greek,Full and Associate,"Email, word of mouth, community groups",2-5,Professional learning / Workshops,Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; Associate / Concession / Other reduced-status membership,Email / Direct mail / Newsletter; Member / Professional networks & Partnerships
57,10-20,"Conferences, workshops, webinars",Hilton Adelaide,Educational leaders across all sectors,"Individual, Institutional and Retired","Events, newsletters",10-20,Conferences; Professional learning / Workshops; Online / Hybrid events,Hotels / Conference venues,Leaders / Senior Professionals,Individual / Full membership; School / Institutional / Organisation membership; Retired / Life / Honorary membership,Email / Direct mail / Newsletter; Events / Professional learning
58,5-10,"Webinars, Face to Face workshops, Curriculum experience days",Schools and event centres,Teachers of Home economics and people working in the field of Home Economics,"Indiviual, School Group, Associate, Student, Not in Pad Employment, INternational","Website, Social media, word of mouth, Face to face events",5-10,Professional learning / Workshops; Online / Hybrid events,Schools / Education sites,Educators / Professional Practitioners,School / Institutional / Organisation membership; Student / Pre-service membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Website / Online presence; Events / Professional learning; Member / Professional networks & Partnerships
59,Minimum of 120,"Full day/ Part day conferences and workshops - face to face and online, Book club chats, MathsMeets, Curriculum DInners, Games Nights",EDC and friendly sites,Birth to Year 6 educators and leaders,"Site - school, preschool, CC/Individual/Early Career/TRT/Life, Organisation","Direct emails, direct mail to sites, membership is attached to attendance at PL",>20,Conferences; Professional learning / Workshops; Networking / Community events; Performances / Competitions / Special events,Education / Training centres,Leaders / Senior Professionals; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Early Career membership; Retired / Life / Honorary membership,Email / Direct mail / Newsletter; Program / Renewal-based recruitment
60,2,"Annual Conference, Middle Schooling PD","Hotel Grand Chancellor, EDC",Area School Leaders,"Individual,","via Email, website and facebook",2,Conferences; Professional learning / Workshops,Education / Training centres; Hotels / Conference venues,Leaders / Senior Professionals,Individual / Full membership,Social media / Digital platforms; Website / Online presence; Email / Direct mail / Newsletter
61,2-5,A range,TBC,Home Economics and Technology Educators,"Individual, School, Retired, Pre-service, SSO, Industry, Country","Facebook , Instagram, Email and EDSA",2-5,Other,Unsure,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership; Retired / Life / Honorary membership; Geographic / Regional membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Member / Professional networks & Partnerships
