Unnamed: 0,What is your biggest advocacy issue for 2025?,What are the biggest threats to your Association in 2025?,What does your Association hope to contribute as an organisation to Educators SA?,What do you hope to get from being a member of Educators SA?,Advocacy Issue Category,Threats Category,Contribution to Educators SA Category,Expected Membership Benefits Category
24,"Access + info for the SA Curriculum, and how we can have any kind of support from the government (or other) to run our association, as we are struggling to manage",Disengaged member base - won't help or contribute; poor take up of information or survey completion; hard for schools to attend meetings,Issues affecting our assn / sectors,Help with the assn things - tax etc,"Education Policy, Curriculum & Standards; Organisational Governance & Capacity; Financial Sustainability & Funding",Membership & Engagement; Organisational Governance & Capacity,Specialist Expertise & Perspectives; Advocacy & Collective Voice,Governance & Administration; Information & Knowledge
25,holding onto members,doing too much and burning out volunteers,networking across different areas of interest,information about all sectors and networking,Membership & Engagement,Workforce & Staffing,Networking & Collaboration,Information & Knowledge; Networking & Collaboration
26,for membership - public support / currently our members indicated they felt cut off with no contact - connection communication breakdown for committee- new LMASA committee members to commit to roles  - all are about to retire in the next few years,IT threats /technology changes in curriculum/changes in the role/ on the job you do not kept on a minimum level 1 just because your school does not recognise the role as lab assistant as important -risk management,use of the rooms for meetings/pd meeting opportunities/continued pd for committee members in their roles etc,support for those isolated - only 1 in this role usually at a school - English not necessarily first language - language barriers,Membership & Engagement; Workforce & Staffing,"Technology & Digital Change; Education Policy, Curriculum & Standards; Workforce & Staffing",Events & Participation; Professional Learning & Development; Governance & Administration,Member/Community Connection & Support; Access & Opportunities
27,Hosting the AFMLTA Biannual Conference,Reduced memberships and/or attendance at PL where costs are incurred due to increased cost of living and competing financial priorities,Voice in Advisory meetings; communication about challenges faced and collaborative problem solving; representation on the Minister's Languages Award panel.,Professional support with the Tax/ Charitable NFP; Governance Support; Networking through PL and social events; PL grant funding; advocacy; World Teacher's Day presence; association 'big picture' through EdSA advisory meetings.,Other,Membership & Engagement; Financial Sustainability & Funding; Professional Learning & Development,Advocacy & Collective Voice; Information & Knowledge; Events & Participation,Governance & Administration; Funding & Financial Support; Networking & Collaboration; Professional Learning & Development; Advocacy & Collective Voice; Information & Knowledge; Promotion & Visibility
28,membership,"membership, executive sustainability, tax","support, leadership by experienced members","support, advice",Membership & Engagement; Organisational Governance & Capacity,Membership & Engagement; Organisational Governance & Capacity,Organisational Support & Capacity; Governance & Administration,Advice & Support; Governance & Administration
29,Charity Status changes; Ongoing changes to national and state curriculum and lack of resourcing for teachers to implement these changes,Financial pressures impacting membership sign ups,Participation in an education network; mentoring support for smaller organisations; networking and collaboration opportunities,Grant support; Facilitation and guidance with regards to ATO and Charity status changes,"Organisational Governance & Capacity; Education Policy, Curriculum & Standards",Financial Sustainability & Funding; Membership & Engagement,Networking & Collaboration; Organisational Support & Capacity,Funding & Financial Support; Governance & Administration; Information & Knowledge
30,"Time poor educators, difficulty reaching out to schools for new members",lower membership and workshop attendance,A network of music educators,"support for associations - advice, guidance, support. Membership portal is so valuable.",Membership & Engagement; Workforce & Staffing,Membership & Engagement; Professional Learning & Development,Networking & Collaboration; Specialist Expertise & Perspectives,Organisational Support & Capacity; Membership & Organisational Development; Advice & Support
31,Time for all committee members to attend not just one or two,,Partnership and support,Partnership and support,Other,Unsure,Networking & Collaboration; Organisational Support & Capacity,Organisational Support & Capacity
32,working through the charity ACNC process,volunteers,"increase member awareness, encourage people to advocate for chosen subject","Support and workshops, advice have been great. Award acknowledgement event was also special.",Organisational Governance & Capacity,Workforce & Staffing,Member/Community Connection & Support; Advocacy & Collective Voice,Advice & Support; Professional Learning & Development; Recognition
33,"Preschool Reform, Support and Inclusion (including violent behaviour in preschoolers), preschool leader wellbeing","Broad range of priorities and lack of capacity to address these, volunteer members with heavy paid workloads","contribute to the board, connect with other early childhood associations, raise profile of early years learners and leaders","I appreciate the support for PD sessions, the information about governance and administration compliance and strategies, connection with other associations, collaboration on shared issues and EdAssist","Student/Learner Outcomes & Wellbeing; Access, Equity & Inclusion; Workforce & Staffing",Workforce & Staffing; Organisational Governance & Capacity,Governance & Administration; Networking & Collaboration; Advocacy & Collective Voice,Professional Learning & Development; Governance & Administration; Networking & Collaboration; Organisational Support & Capacity
34,Building a profile in SA,Membership numbers,"Another voice and perspective, support and engagement",Advocacy and a community of professional partners,"Relevance, Visibility & Promotion",Membership & Engagement,Advocacy & Collective Voice; Member/Community Connection & Support,Advocacy & Collective Voice; Networking & Collaboration
35,spaces to train educators and ability to reach educators,Our current size and time,Active support and engagement with EdSA initiatives a unique perspective to issues faced by educators and associations. What ever we can do to help.,"support, guidance, and help to collaborate with other associations","Access, Equity & Inclusion",Organisational Governance & Capacity,Events & Participation; Specialist Expertise & Perspectives; Organisational Support & Capacity,Advice & Support; Networking & Collaboration
36,Support re funding for students with disability especially in units and special classes,Keeping membership strong,Up to date information re successes and barriers,"Advice, support as required, unified front to tackle issues","Access, Equity & Inclusion",Membership & Engagement,Information & Knowledge; Advocacy & Collective Voice; Organisational Support & Capacity,Advice & Support; Advocacy & Collective Voice
37,School library staffing,school library staffing,"Connecting and collaborating with others, sharing ideas and successes",continued knowledge about how best to manage/build/run an association,Workforce & Staffing,Workforce & Staffing,Networking & Collaboration; Information & Knowledge,Information & Knowledge; Membership & Organisational Development
38,,,perspectives on the adult sector; dealing with an area of education which is not classified by ACARA as a subject,Advice/support on governance issues; access to information on curriculum and other areas of relevance; access to ministers/shadow ministers re policies etc,Subject/Program Sustainability & Quality,Unsure,Specialist Expertise & Perspectives,Governance & Administration; Information & Knowledge; Advocacy & Collective Voice
39,Revitalizing the teaching and learning of the Italian language,,Provide support and ideas,Support in running the association and general updated in the Education field,Subject/Program Sustainability & Quality,Unsure,Organisational Support & Capacity; Information & Knowledge,Organisational Support & Capacity; Information & Knowledge
40,National Skills Agreement for SA,Membership,Attendance at Ed SA council meetings,"Advice, support","Education Policy, Curriculum & Standards",Membership & Engagement,Events & Participation,Advice & Support
41,"retention, promoting French in schools with no language ( of which there are many)  promoting French in the regions","Schools closing down French programs, retention of French teachers on sites, French teachers taking leave and not being replaced, these teachers no longer requiring our association if not teaching French",supporting other language associations through EDSA! Together we are stronger!,"connection, support and love!",Subject/Program Sustainability & Quality; Workforce & Staffing,Subject/Program Sustainability & Quality; Workforce & Staffing,Networking & Collaboration; Organisational Support & Capacity,Networking & Collaboration; Member/Community Connection & Support
42,We need more teachers - this is our most urgent issue. We want the SA government to offer incentives to students to commit to becoming language teachers via scholarships.,Dropping numbers of German teachers and programs,"Meeting and Event attendance, helping with judging for scholarships if needed, spreading Educators SA news to our members",Information and support - as we already do,Workforce & Staffing; Subject/Program Sustainability & Quality,Workforce & Staffing; Subject/Program Sustainability & Quality,Events & Participation; Promotion & Visibility; Specialist Expertise & Perspectives,Information & Knowledge; Advice & Support
43,Teacher contact time,none that are obvious right now,Contributing our voice to the Council Meetings during the year,Advocacy,Workforce & Staffing,Other,Advocacy & Collective Voice,Advocacy & Collective Voice
44,Unsure at theis time,Non attendance at conference as is close to the stte wide conference,Unsure,"Advise and support, especially self review and support with our conference",Unsure,Events & Participation,Unsure,Advice & Support; Events & Participation
45,SA curriculum and keeping language teachers teaching languages,Not a lot of support to Language learning,Participation and contribution upon request.,Professional development opportunities and funding opportunities to improve our services. Meetings that are useful to improve our organisation.,Subject/Program Sustainability & Quality; Workforce & Staffing,Subject/Program Sustainability & Quality,Events & Participation; Participation & Engagement,Professional Learning & Development; Funding & Financial Support; Organisational Support & Capacity
46,"Professional Standards of Instrumental MusicTeachers, and Promotion of the Benefits of Music Education in the Curriculum",Cost of Living pressures threatens our members/industry as we are usually an extra-curricular expense for families,We hope to be an active member and are ready to contribute to EdSA in 2026. We are very proud to have our council member and EdSA representative Jessica Liu on the Ed SA board this year.,"Guidance and support in Association compliance and governance, as well as collaboration and Collegiate interaction with other dedicated associations","Education Policy, Curriculum & Standards; Subject/Program Sustainability & Quality",Financial Sustainability & Funding,Events & Participation; Organisational Support & Capacity,Governance & Administration; Networking & Collaboration
47,,,Participation and feedback at/for events and workshops,"Association support, promotion, event participation, latest news, collaboration",Unsure,Unsure,Participation & Engagement; Information & Knowledge,Organisational Support & Capacity; Promotion & Visibility; Events & Participation; Information & Knowledge; Networking & Collaboration
48,Increasing Women's Studies as a subject,Membership - small numbers of teachers in Australia,Sharing of ideas,Advice and support,Subject/Program Sustainability & Quality,Membership & Engagement,Information & Knowledge,Advice & Support
49,,,To enhance the support of HALT across all networks and education in general,Support with our membership lists etc.,Unsure,Unsure,Member/Community Connection & Support; Specialist Expertise & Perspectives,Organisational Support & Capacity
50,,,Specialist knowledge and connection with Creative Arts educators.,"Information, connections, financial support and fun!",Unsure,Unsure,Specialist Expertise & Perspectives; Networking & Collaboration,Information & Knowledge; Networking & Collaboration; Funding & Financial Support; Member/Community Connection & Support
51,,,Knowledge about our experiences.,An opportunity to network with other organisations and discuss best practices and how tey meet challenges,Unsure,Unsure,Information & Knowledge; Networking & Collaboration,Networking & Collaboration; Information & Knowledge
52,,,"Webinars, networking, collaborative ventures","Administrative support; space to hold our annual awards afternoon for psychology students, networking",Unsure,Unsure,Professional Learning & Development; Networking & Collaboration; Events & Participation,Governance & Administration; Events & Participation; Networking & Collaboration
53,,,,Professional connection,Unsure,Unsure,Unsure,Networking & Collaboration
54,,,"Our Association hopes to contribute the unique perspectives and innovative practices of small schools and actively engage in building a collaborative, supportive professional community within Educators SA.","To seek a stronger collective voice to advocate for small schools, access to professional development tailored to our unique contexts, and opportunities to collaborate and share best practice with fellow educators across South Australia.","Regional & Rural Education; Access, Equity & Inclusion",Unsure,Specialist Expertise & Perspectives; Networking & Collaboration; Member/Community Connection & Support,Advocacy & Collective Voice; Professional Learning & Development; Networking & Collaboration
55,,,"Insight into the broader value of the arts and dance, specifically as an educational, lifestyle, career and recreational pursuit","Advice, support",Subject/Program Sustainability & Quality,Unsure,Specialist Expertise & Perspectives,Advice & Support
56,,,Be a voice for language teachers,"PD on how to run an association, being connected to like minded groups, ensuring our association remains informed about the legalities",Subject/Program Sustainability & Quality,Unsure,Advocacy & Collective Voice,Professional Learning & Development; Networking & Collaboration; Governance & Administration
57,,,Professional learning,Connections and opportunity for collaboration with others in SA,Professional Learning & Development,Unsure,Professional Learning & Development,Networking & Collaboration
58,Where does Home ec fit in the curriculum?,Finances and keeping our association alive in SA!,"A productive and dynamic association that will support the mission, values and strategic plan of Educators SA","Advocacy, networking, and being part of a community to assist us in our mission to support Home Economics.",Financial Sustainability & Funding,Financial Sustainability & Funding,Organisational Support & Capacity,Advocacy & Collective Voice; Networking & Collaboration; Member/Community Connection & Support
59,"High quality maths learning and teaching, devt of Year 1 maths test, profiling of Numeracy indicators in Preschool",continuing to connect with sites and early career educators,contribute to conversations and idea generation through Council meetings and other learning opportunities throughout the year,"Connection to community, connection to advocacy around general education matters across the State","Education Policy, Curriculum & Standards; Student/Learner Outcomes & Wellbeing",Membership & Engagement,Advocacy & Collective Voice; Participation & Engagement; Professional Learning & Development,Member/Community Connection & Support; Advocacy & Collective Voice
60,Equity for country schools/students,Private schools taking enrolments,support for country education,"Working with like minded leaders and associations, support for the running of some elements of our association","Regional & Rural Education; Access, Equity & Inclusion",Competition & External Environment,Specialist Expertise & Perspectives,Networking & Collaboration; Organisational Support & Capacity
61,,,Active involvement in events and sharing EDSA benefits and events with our members.,"Support in governance, networking and being apart of a wonderful community.",Unsure,Unsure,Participation & Engagement; Promotion & Visibility,Governance & Administration; Networking & Collaboration; Member/Community Connection & Support
